customer_id,credit_debit_ratio
SYNCID0000000000,4.46E-06
SYNCID0000000001,0
SYNCID0000000002,0.917003847
SYNCID0000000004,1.267943701
SYNCID0000000005,0.317223923
SYNCID0000000006,23.11846608
SYNCID0000000007,0.367998737
SYNCID0000000008,10.96905894
SYNCID0000000009,1.615943707
SYNCID0000000010,0.326483447
SYNCID0000000011,0.098560383
SYNCID0000000012,10.22482461
SYNCID0000000013,2.72340637
SYNCID0000000014,0.247903725
SYNCID0000000015,39.61353393
SYNCID0000000016,0.043618923
SYNCID0000000017,0
SYNCID0000000018,7.479856833
SYNCID0000000019,4.843329586
SYNCID0000000021,3.372711197
SYNCID0000000022,1.168964673
SYNCID0000000023,0.012465547
SYNCID0000000024,0.489256456
SYNCID0000000025,2.50179556
SYNCID0000000026,0.071202814
SYNCID0000000027,0
SYNCID0000000029,0.751292692
SYNCID0000000031,0
SYNCID0000000032,0.680871016
SYNCID0000000033,0.174542443
SYNCID0000000034,0.909204678
SYNCID0000000035,1.829439866
SYNCID0000000036,0.347224751
SYNCID0000000037,1.232078223
SYNCID0000000038,1.850282915
SYNCID0000000039,0.036462129
SYNCID0000000040,0.473012519
SYNCID0000000041,0.027145221
SYNCID0000000042,0.835958601
SYNCID0000000043,1.457313908
SYNCID0000000044,1.963777911
SYNCID0000000045,0.108397703
SYNCID0000000046,1.145637164
SYNCID0000000047,0.802131731
SYNCID0000000048,0.506542454
SYNCID0000000050,0.375181724
SYNCID0000000051,2.946208179
SYNCID0000000052,0.659707723
SYNCID0000000053,0.046165796
SYNCID0000000054,0
SYNCID0000000055,0.548063511
SYNCID0000000056,3.032882272
SYNCID0000000057,0.537142245
SYNCID0000000058,0.241723536
SYNCID0000000059,0.627511193
SYNCID0000000060,0.383835641
SYNCID0000000061,1.991956309
SYNCID0000000062,16.33484861
SYNCID0000000063,0.06429232
SYNCID0000000064,0.177599725
SYNCID0000000065,1.251876733
SYNCID0000000066,0.678608452
SYNCID0000000067,0.385783933
SYNCID0000000068,0.398447195
SYNCID0000000069,2.127579974
SYNCID0000000070,1.067793714
SYNCID0000000071,1.086306425
SYNCID0000000072,4.083361605
SYNCID0000000073,1.836982507
SYNCID0000000074,0.136226096
SYNCID0000000075,0.17268959
SYNCID0000000076,0.419110407
SYNCID0000000077,0.658879497
SYNCID0000000078,0.331993131
SYNCID0000000079,0
SYNCID0000000080,1000000000
SYNCID0000000081,0.270402895
SYNCID0000000082,8.235079385
SYNCID0000000083,2.412230695
SYNCID0000000084,1.8698379
SYNCID0000000085,0.43101816
SYNCID0000000086,0.77341239
SYNCID0000000087,5.257908955
SYNCID0000000088,121.816754
SYNCID0000000089,0.911488149
SYNCID0000000090,0.030001388
SYNCID0000000091,5.524619648
SYNCID0000000092,0.176716314
SYNCID0000000093,2.614174274
SYNCID0000000094,0.193929253
SYNCID0000000095,9.418026387
SYNCID0000000096,0.973025658
SYNCID0000000097,0.246082359
SYNCID0000000098,1.388045218
SYNCID0000000099,0.054375301
SYNCID0000000100,2.53421322
SYNCID0000000101,0.581878245
SYNCID0000000102,46.52308335
SYNCID0000000103,0.865460228
SYNCID0000000104,5.313657618
SYNCID0000000105,1.902343479
SYNCID0000000106,0.436520763
SYNCID0000000107,0.315546056
SYNCID0000000108,0.47286772
SYNCID0000000109,0.868059871
SYNCID0000000110,0.38712308
SYNCID0000000111,0.384174505
SYNCID0000000112,59.37361575
SYNCID0000000113,2.086400377
SYNCID0000000114,0
SYNCID0000000115,0.120718826
SYNCID0000000116,0.321730711
SYNCID0000000117,0.669886769
SYNCID0000000118,1.139969857
SYNCID0000000119,0.100248735
SYNCID0000000120,1.029213001
SYNCID0000000122,19.09302254
SYNCID0000000123,5.369662526
SYNCID0000000124,8.011995073
SYNCID0000000125,0.722413341
SYNCID0000000126,4.746344074
SYNCID0000000127,0.47885085
SYNCID0000000128,1.193384632
SYNCID0000000129,3.206176193
SYNCID0000000131,0.277252877
SYNCID0000000132,0.428830654
SYNCID0000000133,0.367107817
SYNCID0000000134,0.467291716
SYNCID0000000135,2.060010347
SYNCID0000000136,1.029746189
SYNCID0000000137,2.459783138
SYNCID0000000138,0.952463254
SYNCID0000000139,1.514269605
SYNCID0000000140,0.211738302
SYNCID0000000141,0.626216722
SYNCID0000000142,0.164236867
SYNCID0000000143,1.386076591
SYNCID0000000144,0.481089299
SYNCID0000000145,0.070015986
SYNCID0000000146,0.262586317
SYNCID0000000147,0.256169686
SYNCID0000000148,1.840332851
SYNCID0000000149,0.232572362
SYNCID0000000150,7.656245036
SYNCID0000000151,0.518079769
SYNCID0000000152,1.313825354
SYNCID0000000153,2.686063454
SYNCID0000000154,0.480230636
SYNCID0000000155,0
SYNCID0000000156,0.33940202
SYNCID0000000158,0
SYNCID0000000159,0.152815001
SYNCID0000000160,14.02401829
SYNCID0000000161,7.724151923
SYNCID0000000162,0.565621915
SYNCID0000000163,1.078497907
SYNCID0000000164,1.5311301
SYNCID0000000165,0.440757284
SYNCID0000000166,0.138898803
SYNCID0000000167,0.097264265
SYNCID0000000169,0.94522149
SYNCID0000000170,1.497332629
SYNCID0000000171,0
SYNCID0000000172,0.556784505
SYNCID0000000173,0.12373602
SYNCID0000000174,0
SYNCID0000000175,6.207261024
SYNCID0000000177,2.199123018
SYNCID0000000178,10.93582938
SYNCID0000000179,0
SYNCID0000000180,0.159643878
SYNCID0000000181,24.85659574
SYNCID0000000182,0.498216054
SYNCID0000000183,0
SYNCID0000000184,0.616033446
SYNCID0000000185,1.033614144
SYNCID0000000186,0.526402041
SYNCID0000000187,3.278083592
SYNCID0000000188,0.912998002
SYNCID0000000189,0.353804986
SYNCID0000000190,0
SYNCID0000000191,0.004253911
SYNCID0000000192,0.056782234
SYNCID0000000193,6.405863691
SYNCID0000000194,1488.061986
SYNCID0000000195,0.029466477
SYNCID0000000196,0.390139164
SYNCID0000000197,0.308717788
SYNCID0000000198,0.619877061
SYNCID0000000199,0.098001418
SYNCID0000000200,5.371688133
SYNCID0000000201,0
SYNCID0000000202,0.515363365
SYNCID0000000203,0.08715489
SYNCID0000000204,0.782499672
SYNCID0000000205,1.160994601
SYNCID0000000207,1.075645185
SYNCID0000000208,0.147363604
SYNCID0000000209,5.585356499
