customer_id,credit_total_amount_ratio,debit_total_amount_ratio
SYNCID0000000000,4.456784786319453e-06,0.9999955432152137
SYNCID0000000001,0.0,1.0
SYNCID0000000002,0.47835263783993576,0.5216473621600644
SYNCID0000000004,0.5590719472627078,0.4409280527372921
SYNCID0000000005,0.24082763577011307,0.7591723642298869
SYNCID0000000006,0.9585379933896259,0.041462006610374136
SYNCID0000000007,0.26900517315519223,0.7309948268448078
SYNCID0000000008,0.9164512427167341,0.08354875728326591
SYNCID0000000009,0.6177287770585541,0.38227122294144583
SYNCID0000000010,0.2461270417225702,0.7538729582774298
SYNCID0000000011,0.08971776587958218,0.9102822341204178
SYNCID0000000012,0.9109117482793553,0.08908825172064475
SYNCID0000000013,0.7314287239295437,0.26857127607045617
SYNCID0000000014,0.19865613014002712,0.8013438698599729
SYNCID0000000015,0.9753776659365923,0.02462233406340774
SYNCID0000000016,0.041795834032752256,0.9582041659672478
SYNCID0000000017,0.0,1.0
SYNCID0000000018,0.8820734807597567,0.11792651924024336
SYNCID0000000019,0.8288646934324547,0.17113530656754528
SYNCID0000000021,0.7713089305629677,0.22869106943703227
SYNCID0000000022,0.5389505360043524,0.4610494639956475
SYNCID0000000023,0.012312069883033525,0.9876879301169664
SYNCID0000000024,0.32852397861474625,0.6714760213852538
SYNCID0000000025,0.7144322154583053,0.2855677845416948
SYNCID0000000026,0.06646996498758184,0.9335300350124183
SYNCID0000000027,0.0,1.0
SYNCID0000000029,0.4289932205537603,0.5710067794462397
SYNCID0000000031,0.0,1.0
SYNCID0000000032,0.4050703532132605,0.5949296467867394
SYNCID0000000033,0.1486046280074248,0.8513953719925752
SYNCID0000000034,0.47622168975552437,0.5237783102444756
SYNCID0000000035,0.6465731567709593,0.3534268432290407
SYNCID0000000036,0.257733352115699,0.7422666478843009
SYNCID0000000037,0.5519870273338381,0.4480129726661619
SYNCID0000000038,0.6491576345377656,0.35084236546223435
SYNCID0000000039,0.035179412585247385,0.9648205874147526
SYNCID0000000040,0.32111914375129763,0.6788808562487024
SYNCID0000000041,0.026427831367525686,0.9735721686324742
SYNCID0000000042,0.45532540908789587,0.5446745909121041
SYNCID0000000043,0.5930515849616886,0.4069484150383113
SYNCID0000000044,0.6625928021657538,0.3374071978342463
SYNCID0000000045,0.09779675912363743,0.9022032408763626
SYNCID0000000046,0.5339379757204725,0.46606202427952753
SYNCID0000000047,0.4451016077131942,0.5548983922868058
SYNCID0000000048,0.33622846337258405,0.663771536627416
SYNCID0000000050,0.27282337855205324,0.7271766214479468
SYNCID0000000051,0.7465921830201097,0.2534078169798904
SYNCID0000000052,0.3974842762643936,0.6025157237356065
SYNCID0000000053,0.04412856581204313,0.955871434187957
SYNCID0000000054,0.0,1.0
SYNCID0000000055,0.35403167040358746,0.6459683295964126
SYNCID0000000056,0.7520383853301164,0.2479616146698837
SYNCID0000000057,0.3494421202720065,0.6505578797279935
SYNCID0000000058,0.19466775728401017,0.8053322427159898
SYNCID0000000059,0.38556490155933654,0.6144350984406635
SYNCID0000000060,0.27737083029823745,0.7226291697017625
SYNCID0000000061,0.6657705204092106,0.33422947959078936
SYNCID0000000062,0.9423127353333669,0.05768726466663306
SYNCID0000000063,0.0604085159861374,0.9395914840138626
SYNCID0000000064,0.1508150193222344,0.8491849806777655
SYNCID0000000065,0.5559259591958245,0.4440740408041754
SYNCID0000000066,0.40426845877302436,0.5957315412269756
SYNCID0000000067,0.27838678446214776,0.7216132155378523
SYNCID0000000068,0.28492115879505864,0.7150788412049414
SYNCID0000000069,0.680263971452934,0.3197360285470659
SYNCID0000000070,0.516392765205893,0.4836072347941071
SYNCID0000000071,0.5206840241460087,0.4793159758539914
SYNCID0000000072,0.8032797825925465,0.1967202174074534
SYNCID0000000073,0.6475128071997033,0.3524871928002966
SYNCID0000000074,0.11989347570907107,0.8801065242909288
SYNCID0000000075,0.1472594212221212,0.8527405787778787
SYNCID0000000076,0.2953331925548282,0.7046668074451717
SYNCID0000000077,0.39718345912730857,0.6028165408726913
SYNCID0000000078,0.24924537790366155,0.7507546220963384
SYNCID0000000079,0.0,1.0
SYNCID0000000080,1.0,0.0
SYNCID0000000081,0.21284814119105377,0.7871518588089461
SYNCID0000000082,0.8917172275117085,0.10828277248829148
SYNCID0000000083,0.7069365792271475,0.2930634207728525
SYNCID0000000084,0.6515482634047691,0.3484517365952309
SYNCID0000000085,0.30119684861018325,0.6988031513898167
SYNCID0000000086,0.43611536406591755,0.5638846359340824
SYNCID0000000087,0.8402022133627591,0.15979778663724084
SYNCID0000000088,0.9918577883955167,0.008142211604483236
SYNCID0000000089,0.4768473973303568,0.5231526026696433
SYNCID0000000090,0.029127522253711024,0.9708724777462889
SYNCID0000000091,0.8467343609398212,0.15326563906017876
SYNCID0000000092,0.15017749981951026,0.8498225001804898
SYNCID0000000093,0.7233116268572664,0.27668837314273365
SYNCID0000000094,0.16242943434526083,0.8375705656547392
SYNCID0000000095,0.9040125295479788,0.09598747045202126
SYNCID0000000096,0.4931642192088578,0.5068357807911422
SYNCID0000000097,0.1974848272008806,0.8025151727991193
SYNCID0000000098,0.5812474603384113,0.4187525396615887
SYNCID0000000099,0.05157110619563301,0.9484288938043671
SYNCID0000000100,0.7170515931526504,0.28294840684734957
SYNCID0000000101,0.36784009555632113,0.6321599044436789
SYNCID0000000102,0.9789575942996048,0.02104240570039518
SYNCID0000000103,0.4639392547268391,0.5360607452731608
