customer_id,wire_max_weekly_trx,wire_max_monthly_trx,wire_max_weekely_trx_avg_val,wire_max_monthly_trx_avg_val,abm_max_weekly_trx,abm_max_monthly_trx,abm_max_weekely_trx_avg_val,abm_max_monthly_trx_avg_val,abm_cash_activity,cheque_max_weekly_trx,cheque_max_monthly_trx,cheque_max_weekely_trx_avg_val,cheque_max_monthly_trx_avg_val,eft_max_weekly_trx,eft_max_monthly_trx,eft_max_weekely_trx_avg_val,eft_max_monthly_trx_avg_val,emt_max_weekly_trx,emt_max_weekely_trx_avg_val,emt_max_monthly_trx,emt_max_monthly_trx_avg_val,card_merchant_categories,card_max_weekly_trx,card_max_weekely_trx_avg_val,card_merchant_category_dissimilarity,card_merchant_category_dissimilarity_std,card_max_monthly_trx,card_max_monthly_trx_avg_val,card_ecommerce_activity
SYNCID0000004006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,180.21166666666667,18.0,417.28777777777776,1.0,1.0,145.15,0.0,0.0,1.0,145.15,1.0
SYNCID0000006194,0.0,0.0,0.0,0.0,2.0,4.0,741.575,5015.5975,0.625,1.0,1.0,1040.39,1040.39,1.0,1.0,45.75,45.75,3.0,157.3033333333333,6.0,641.0866666666667,15.0,5.0,9.168000000000001,2.309246961517755,0.606117538701047,16.0,654.9187499999999,0.034482758620689655
SYNCID0000013208,1.0,1.0,253373.19,253373.19,0.0,0.0,0.0,0.0,0.0,2.0,3.0,188.01999999999998,1418.716666666667,4.0,8.0,16066.33,11212.16875,1.0,252.76,3.0,825.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000003168,0.0,0.0,0.0,0.0,3.0,4.0,1011.5566666666667,864.86,0.8333333333333334,1.0,1.0,23.41,23.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,51.71666666666667,1.6503340746887791,0.23275570819833608,8.0,165.73999999999998,0.13333333333333333
SYNCID0000012349,0.0,0.0,0.0,0.0,4.0,14.0,1007.7074999999999,716.5014285714286,0.8529411764705882,2.0,3.0,7671.77,5810.4766666666665,4.0,9.0,2807.5574999999994,4760.468888888889,0.0,0.0,0.0,0.0,29.0,7.0,358.84142857142854,3.3198358710146683,0.9082090264240531,28.0,837.5814285714285,0.14864864864864866
SYNCID0000009155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,99.0,8140.750833333334,3776.626565656565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,26.875,1.162448582448027,0.5615870011238143,4.0,191.4125,0.25
SYNCID0000007448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2009.54,3665.695,1.0,1.0,19834.4,19834.4,1.0,367.0,2.0,609.835,1.0,1.0,12.09,0.0,0.0,1.0,12.09,1.0
SYNCID0000012381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,489.72,412.05333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000013910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,630.12,4271.913333333333,0.0,0.0,0.0,0.0,1.0,431.02,2.0,1216.385,22.0,8.0,143.37,2.5912025245338604,0.5344805673262124,17.0,115.05588235294118,0.3157894736842105
SYNCID0000007372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,3125.1699999999996,1685.07875,3.0,5.0,205.86666666666667,434.6,1.0,41.07,2.0,40.765,17.0,8.0,561.89125,2.085664542744298,0.6324582319325283,14.0,359.4535714285715,0.17647058823529413
